genre
Comedy
Family
Musical
Drama
Documentary
Romance
Biography
War
Crime
Horror
Thriller
Adventure
Music
Action
Mystery
Fantasy
Western
Animation
Sport
Film-Noir
Sci-Fi
History
News
Adult
Reality-TV
